"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Der kleine Rabe Socke - Das große Rennen Das Spiel zum Kinofilm!",,,"Schacht, Michael","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly Junior my Little Ponny da berühmte Spiel um den großen Deal",,,,"2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Black stories - das Verhör 50 rabenschwarze Rätsel",,,"Krenner, Johannes","[2015] © 2015",,"Kriminalfälle Black Games Black",,,,,
"Stadtbibliothek Chemnitz","Black stories - Bibel Edition 50 rabenschwarze Rätsel rund um das Buch der Bücher",,,"Bartels, Johannes","[2015] © 2015",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Das große Jahreszeiten-Spiel ein heiteres Aktivierungsspiel für ältere Menschen",,,"Bold, Birgitt","[2015] © 2015",,"G 213 Bod",,,,,
"Stadtbibliothek Chemnitz","True Stories! Manchmal ist die Wahrheit wirklich unglaublich",,,"Staupe, Reinhard","2015 ©2015",,"Games True",,,,,
"Stadtbibliothek Chemnitz","Hexx & Hopp ...das schnellste Anlegespiel der Welt!?",,,"Brons, René","[2015] © 2015",,"Games Hexx Blau Spiele Hexx",,,,,
"Stadtbibliothek Chemnitz","Wer wird Küchenmeister? ein Aktivierungsspiel rund ums Kochen für ältere Menschen",,,,"[2015]",,"G 213 Wer",,,,,
"Stadtbibliothek Chemnitz","Agent Undercover",,,"Ushan, Alexander","[2015] ©2015",,"Games Agent",,,,,
"Stadtbibliothek Chemnitz","Stratego Conquest",,,,"[2015]",,"Games Stratego",,,,,
"Stadtbibliothek Chemnitz","Der zerstreute Pharao wo steckt nur die Trompete der schönen Nofretete?",,,"Baars, Gunter","2015",,"Games Zerstreu",,,,,
