"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Reise durch Deutschland ein spannendes Quizspiel rund um die deutschen Bundesländer",,,"Knizia, Reiner","2015",,"Rot Spiele Reise",,,,,
"Stadtbibliothek Chemnitz","Solomino die beliebteste Spielidee der Welt - jetzt als Domino!",,,"Lepuschitz, Wilfried","2015",,"Rot Spiele Solo",,,,,
"Stadtbibliothek Chemnitz","Menschlicher Körper von A-Z",,,"Farkas, R.","2015",,"Rot Spiele Mensch",,,,,
"Stadtbibliothek Chemnitz","Panik Pilze Sammle sie alle!",,,"Gené, Jordi","2015",,"Rot Spiele Panik",,,,,
"Stadtbibliothek Chemnitz","Hinterhalt im Räuberwald",,,"Haferkamp, Kai","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Duell der Mächte",,,"Parlett, David","2015",,"Rot Spiele Duell",,,,,
"Stadtbibliothek Chemnitz","Chef Alfredo Ein lustiges Spiel um kreative Köche",,,"Schacht, Michael","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Alle Vögel sind schon da! Kolibri und Papagei wären auch gern mit dabei!",,,"Staupe, Reinhard","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Simsala ... Bumm? verzaubert selbst Magiemuffel",,,"Kim, Gary","2015",,"Rot Spiele Simsa",,,,,
"Stadtbibliothek Chemnitz","Fliegenschmaus Nur wer stänkert, stinkt nicht ab!",,,"Keusch, Dietmar","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Push a Monster ein Monsterstarkes Schiebespiel",,,"Dirscherl, Wolfgang","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ülox Üben Lernen Orientieren in einer Box",,,"Wagner, Denise","[2015]",,"I 149 Ülo",,,,,
"Stadtbibliothek Chemnitz","Brick Party",,,"Bellini, Luca","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Codenames",,,"Chvátil, Vlaada","2015 © 2015",,"G 212 Chv",,,,,
"Stadtbibliothek Chemnitz","Feste feiern - ¬Das Quiz Ratespaß und Unterhaltung",,,"Jasper, Bettina M.","[2015]",,"G 212 Qui",,,,,
"Stadtbibliothek Chemnitz","Mombasa Konkurrenzkampf im Zeitalter der Handelskompanien",,,"Pfister, Alexander","[2015] © 2015",,"Blau Spiele Momba",,,,,
"Stadtbibliothek Chemnitz","Clever spielen - Anlaute [das KartenLernSpiel mit Spaßgarantie! : Spielerisches Lernen der wichtigen Vorschulthemen Buchstaben und Anlaute : Trainiert die Konzentrations- und Merkfähigkeit]",,,"Labuch, Kristin","[2015]",,"BF Gelb G 2 Cle",,,,,
"Stadtbibliothek Chemnitz","Die unüblichen Verdächtigen",,,"Mori, Paolo","[2015] ©2015",,"Games Unübl",,,,,
"Stadtbibliothek Chemnitz","Kolejka In dieser Schlange warten Sie lange!",,,"Madaj, Karol","2015",,"Blau Spiele Kolej",,,,,
"Stadtbibliothek Chemnitz","Rund um die Uhr Ein Spiel zum Entdecken und Erleben der Uhrzeit",,,"Teubner, Marco","2015",,"Rot Spiele Rund",,,,,
"Stadtbibliothek Chemnitz","Isle of Skye vom Häuptling zum König",,,"Pelikan, Andreas","[2015-2016] © 2015-2016",,"Games Isle",,,,,
"Stadtbibliothek Chemnitz","Mmm! der kooperative Mäusespass für klein und gross",,,"Knizia, Reiner","[2015] ©2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Meine lustige Mixmax-Arche Lustiger Schiebespaß - mit über 100 Kombinationen",,,"Scharff-Kniemeyer, Marlis","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bibi Blocksberg - verhexter Hexenbesen",,,"Haferkamp, Kai","[2015] © 2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Einfach alles! - Die Welt in Bildern eine bunte Wort-Schatz-Kiste mit 150 Bildkarten",,,"Berner, Rotraut Susanne","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Mister Pups Spiel",,,,"[2015] © 2015",,"Rot Spiele Mister",,,,,
"Stadtbibliothek Chemnitz","Groß-Puzzles: Thema „Sommerurlaub“ 6 Motive für die Aktivierung von Demenzkranken",,,,"[2015] © 2015",,"G 212 Gro",,,,,
"Stadtbibliothek Chemnitz","Fressen Igel Schokoriegel? Füttert die Tiere und entdeckt was ihnen schmeckt",,,"Sieber, Elisabeth","2015",,"Sport Spiel",,,,,
"Stadtbibliothek Chemnitz","Groß-Puzzles: Thema „Tiere“ 6 Motive für die Aktivierung von Demenzkranken",,,,"[2015] © 2015",,"G 212 Gro",,,,,
"Stadtbibliothek Chemnitz","Karuba",,,"Dorn, Rüdiger","[2015] ©2015",,"Blau Spiele Karub",,,,,
"Stadtbibliothek Chemnitz","Bunte Mischung das vergnügliche Kartenspiel für die Aktivierung älterer Menschen",,,"Henze, Birgit","[2015] © 2015",,"Aktivierungs-Box 2",,,,,
"Stadtbibliothek Chemnitz","3 gewinnt!",,,"Baars, Gunter","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Höhle der Löwen das Spiel zur VOX TV-Show",,,"Mueller, Markus","[2015] © 2015",,"G 212 Höh",,,,,
"Stadtbibliothek Chemnitz","NEON Unnützes Quizzen: Ideen & Erfindungen",,,,"2015",,,,,,,
"Stadtbibliothek Chemnitz","Crabz",,,"Kermarrec, Henri","[2015] ©2015",,"Rot Spiele Crabz",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Klatsch & Tratsch",,,"Schwamm, Sebastian","[2015] © 2015",,"A 090 Neo",,,,,
"Stadtbibliothek Chemnitz","Memo",,,"Cabrol, Marta","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bingo",,,"Bücken, Hajo","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly Junior - DreamWorks Dragons Das berühmte Spiel um den großen Deal",,,,"2015",,"Rot Spiele Monop",,,,,
"Stadtbibliothek Chemnitz","Stars der 50er- und 60er Jahre das Nostalgie-Memo-Spiel : inklusive Begeltiheft zu Leben und Filmen der Stars",,,,"[2015] © 2015",,"Erlebnis-Box",,,,,
"Stadtbibliothek Chemnitz","Die kleine Plaudertasche",,,,"2015",,,,,,,
"Stadtbibliothek Chemnitz","Sag's mir! Junior Auf für die Kleinsten!",,,"Sarrett, Peter","[2015] © 2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wär' ich doch der Hahn im Korb",,,"Borg, Lionel","[2015] © 2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hedbanz das rasante Ratespiel: ""Was bin ich?""",,,,"[2015] © 2015",,"Rot Spiele Hedba",,,,,
"Stadtbibliothek Chemnitz","Schnick, schnack, schnuck Der Klassiker ""Schere, Stein, Papier"" jetzt als lustiges Kartenspiel",,,"Keller, Christian","2015",,"Rot Spiele Schnick",,,,,
"Stadtbibliothek Chemnitz","Catan Junior",,,"Teuber, Klaus","2015",,"Rot Spiele Catan",,,,,
"Stadtbibliothek Chemnitz","Kreuzwort",,,"Lach, Bernhard","2015",,"Rot Spiele Kreuz",,,,,
"Stadtbibliothek Chemnitz","Entdecke die Welt Weißt du, wo das Känguru lebt?",,,"Baars, Gunter","2015",,"Rot Spiele Entde",,,,,
"Stadtbibliothek Chemnitz","Adventure Tours",,,"Kanai, Seiji","2015",,"Blau Spiele Adven",,,,,
"Stadtbibliothek Chemnitz","Bubble Bomb",,,"Kermarrec, Henri","2015",,"Rot Spiele Bubble",,,,,
"Stadtbibliothek Chemnitz","Im Geisterschiff",,,"Overdick, Stephan","2015",,"Rot Spiele Im",,,,,
"Stadtbibliothek Chemnitz","Unser Sandmännchen und seine Freunde spannendes Such- und Laufspiel",,,"Witt, Katja","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Faszinierende Pferde",,,"Farkas, R.","2015",,"Rot Spiele Faszi",,,,,
"Stadtbibliothek Chemnitz","Star Wars Memory der Weltbekannte Klassiker",,,,"2015",,"Rot Spiele Star",,,,,
"Stadtbibliothek Chemnitz","Von Drachen und Schafen",,,"Mortensen, Nathanael","2015",,"Rot Spiele Von",,,,,
"Stadtbibliothek Chemnitz","Black Stories - Dark Tales Edition 50 rabenschwarze Rätsel aus dem Reich der Mythen, Sagen und Legenden",,,"Harder, Corinna","2015",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Black Stories - Last man Falling der Spiele-Klassiker Mau-Mau in der black-stories Variante",,,"Schumacher, Jens","2015",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Quick Buzz das Vokabelduell ; Englisch lernen mit Spass und Action ; Niveau A1 - B1",,,,"2015",,"210 I 211 Qui",,,,,
"Stadtbibliothek Chemnitz","Wettflug zur Dracheninsel",,,"Burkhardt, Günter","2015",,"Rot Spiele Wett",,,,,
"Stadtbibliothek Chemnitz","Stratego Waterloo 200 years",,,"St.Just, Jason","2015",,"Games Strate",,,,,
"Stadtbibliothek Chemnitz","Activity Champion",,,"Catty, Paul","2015",,"Games Activ",,,,,
"Stadtbibliothek Chemnitz","Linkee Vier kleine Fragen. Ein großer Link.",,,,"2015",,"Games Linke",,,,,
"Stadtbibliothek Chemnitz","MindMaze verzwickte Rätsel, 66 Geschichten um Geld, Ruhm und Macht",,,"Bokarev, Timofey","2015",,"Blau Spiele Mind",,,,,
"Stadtbibliothek Chemnitz","Leipzig-Quiz [100 Fragen und Antworten]",,,"Kreller, Anika","2015",,"Ter G 20.1 Leipzig Lei",,,,,
"Stadtbibliothek Chemnitz","Mein Mäuschen-Farbspiel",,,"Daum, Thomas","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Abenteuer auf Lothal",,,"Ludwig, Manfred","2015",,"Rot Spiele Abent",,,,,
"Stadtbibliothek Chemnitz","Crazy Coconuts das actiongeladene Kokosnussschießen",,,"Schneider, Walter","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Post iast da!",,,"Rogasch, Tim","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Könnten Sie Deutsche(r) werden? Würden Sie den deutschen Einbürgerungstest bestehen?; Testen Sie spielend Ihr staatsbürgerliches Wissen ;Quiz-Spiel mit den Originalfragen des deutschen Einbürgerungstests",,,"Streckel, Claudia","2015",,"G 212 Str",,,,,
"Stadtbibliothek Chemnitz","QUICK BUZZ das Vokabelduell; Deutsch lernen mit Spaß und Action",,,,"2015",,"I 148.3 Qui",,,,,
"Stadtbibliothek Chemnitz","Der Hobbit - Die Schlacht der fünf Heere Kampf um den Arkenstein",,,"Kanai, Seiji","2014",,"Games Hobbit",,,,,
"Stadtbibliothek Chemnitz","Spiel des Wissens - Planet Deutschland",,,,"[2014?]",,"G 212 Spi",,,,,
"Stadtbibliothek Chemnitz","Triovision",,,,"[2014] © 2014",,"G 212 Tri",,,,,
"Stadtbibliothek Chemnitz","Heckmeck am Bratwurmeck",,,"Knizia, Reiner","[2014] © 2014",,"Rot Spiele Heckm",,,,,
"Stadtbibliothek Chemnitz","Zeitalter des Krieges",,,"Knizia, Reiner","[2014] © 2014",,"Games Zeital",,,,,
"Stadtbibliothek Chemnitz","1, 2, 3, Papagei! Beobachten, merken, reagiern!",,,"Knizia, Reiner","[2014] © 2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wakanda",,,"Chevallier, Charles","2014",,"Rot Spiele Wakan",,,,,
"Stadtbibliothek Chemnitz","Carnac",,,"Venturini, Emiliano","2014",,"Blau Spiele Carna",,,,,
"Stadtbibliothek Chemnitz","Schatzinsel Junior Collection",,,"Dumas, Frederico","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Colt Express Gold am Ende der Bahn",,,"Raimbault, Christophe","2014",,"G 211 Rai",,,,,
"Stadtbibliothek Chemnitz","Ravensburger Memory Deutschland",,,,"2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Conni und die Tiere lustiges Merk-Spiel",,,"Daum, Thomas","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Kroko Doc der lustige Nervenkitzel für Groß und Klein",,,,"[2014] ©2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Make'n'Break Circus",,,"Lawson, Andrew","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Wirtschaft & Politik",,,"Schwamm, Sebastian","[2014] © 2014",,"A 090 Neo",,,,,
"Stadtbibliothek Chemnitz","Dresden Memo",,,,"2014",,"Ter G 20.1 Dresden Dre",,,,,
"Stadtbibliothek Chemnitz","Leipzig Städte-Quartett",,,"Joroch, Anne-Cathrin","15. November 2014",,"Ter G 20.1 Leipzig Jor",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Wissenschaft & Unsinn",,,"Schwamm, Sebastian","[2014] © 2014",,"A 090 Neo",,,,,
"Stadtbibliothek Chemnitz","Aqua Sphere",,,"Feld, Stefan","[2014]",,"G 212 Fel",,,,,
"Stadtbibliothek Chemnitz","Unsere kleine Stadt Erinnerungen wecken - kognitive und motorische Fähigkeit fördern",,,,"[2014] © 2014",,"G 212 Uns",,,,,
"Stadtbibliothek Chemnitz","Inkognito Agententreff in Venedig",,,"Colovini, Leo","[2014]",,"Games Inkognit",,,,,
"Stadtbibliothek Chemnitz","Die Sprichwort Würfel Raten, Bewegen, Erzählen",,,"Metzger, Maria","[2014] © 2014",,"G 212 Met",,,,,
"Stadtbibliothek Chemnitz","Familie Fisch Welche Familie ist zuerst komplett?",,,"Rüttinger, Michael","2014 ©2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Fröschlein spring! Wer lockt die meisten Frösche zu sich her?",,,"Rüttinger, Michael","[2015] ©2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Leipzig Quartett 1000 Jahre Handel und Wandel",,,,"2014",,"Ter G 20.1 Leipzig Lei",,,,,
"Stadtbibliothek Chemnitz","Der kleine Löwe spielt mit seinen Freunden",,,"Jähnig, Gunter","2014",,"Lernkoffer Barrierefreiheit",,,,,
"Stadtbibliothek Chemnitz","Die Alchemisten",,,"Kotry, Matúš","[2014]",,"Games Alchem",,,,,
"Stadtbibliothek Chemnitz","Tic Talk Wörter finden, der Sanduhr trotzen!",,,"Yearick, Dave","[2014]",,"Games TicTalk",,,,,
"Stadtbibliothek Chemnitz","Game of Thrones - die Intrigen von Westeros",,,"Knizia, Reiner","[2014] © 2014",,"Games Gameof",,,,,
"Stadtbibliothek Chemnitz","RushHour Jr. das geniale Stauspiel",,,"Yoshigahara, Nob","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schau mal! Was ist anders?",,,"Shafir, Haim","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Vollmondnacht - Werwölfe ein eigenständiges Spiel",,,"Alspach, Ted","2014",,"Rot Spiele Voll",,,,,
"Stadtbibliothek Chemnitz","Papilio",,,"Peise, Udo","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Continuo Was passt, das zählt!",,,"Hiron, Maureen","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Machi Koro Bau dir deine Stadt!",,,"Suganuma, Masao","2014",,"Rot Spiele Machi",,,,,
"Stadtbibliothek Chemnitz","Cluedo Junior Das Rätsel um den verschwundenen Schokoladenkuchen",,,,"2014",,"Rot Spiele Cluedo",,,,,
"Stadtbibliothek Chemnitz","Joe's Zoo ein tierisches Suchspiel",,,"Dirscherl, Wolfgang","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Blumenfee",,,"Hüpper, Christiane","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Spiel des Lebens Junior Mein fabelhafter Tag",,,,"2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Spiky",,,"Hetling, Karin","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ohne Moos nix los! Wie gut kommst du über die Runden?",,,,"2014",,"Rot Spiele Ohne",,,,,
"Stadtbibliothek Chemnitz","Sultaniya",,,"Chevallier, Charles","2014",,"Rot Spiele Sulta",,,,,
"Stadtbibliothek Chemnitz","Hick Hack in Gackelwack",,,"Dorra, Stefan","2014",,"Rot Spiele Hick",,,,,
"Stadtbibliothek Chemnitz","1000 Jahre Leipzig Memo",,,,"2014",,"Ter G 20.1 Leipzig 100",,,,,
"Stadtbibliothek Chemnitz","Fussball Quiz-Spiel",,,"Reichert, Markus","[2014] [2014] © 2014",,"Rot Spiele Fussb",,,,,
"Stadtbibliothek Chemnitz","Das Spiel des Lebens das Original",,,,"[2014] © 2014",,"G 212 Spi Rot Spiele Spiel",,,,,
"Stadtbibliothek Chemnitz","Black stories - Christmas Edition",,,"Harder, Corinna","2014",,"Kriminalfälle Black/2",,,,,
"Stadtbibliothek Chemnitz","Raben stapeln mit Schnabelgrün Das zaueberhafte Balance- und Stapelspiel für kleine, größere und ganz große Baumeister!",,,"Kappler, Paul","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bei uns zu Hause ein Biografiespiel",,,"Friese, Andrea","2014",,"G 212 Fri",,,,,
"Stadtbibliothek Chemnitz","Pie Face! Wem wird der Schwamm ins Gesicht geklatscht? Das erfrischend andere, urkomische Spiel. Nervenkitzel erwünscht, Lachen garantiert!",,,,"[2014] © 2014",,"Rot Spiele Pie",,,,,
"Stadtbibliothek Chemnitz","Sau-Bande! das rasante Reaktionsspiel",,,"Lakicevic, Dusan","[2014] © 2014",,"Rot Spiele Sau",,,,,
"Stadtbibliothek Chemnitz","Sicken ohne Nadel, Lausbuben die beliebten Stickkarten neu entdeckt : das ideale Geschenk für Menschen mit Demenz",,,,"[2014] © 2014",,"Aktivierungs-Box 2",,,,,
"Stadtbibliothek Chemnitz","Drecksause Saumäßig durch den Matsch!",,,"Baars, Gunter","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","""Das gelingt immer!"" - Blumen vier Puzzles mit Erfolgsgarantie : egal, wie die vier Teile zusammengesetzt werden - sie ergeben immer ein Motiv",,,,"[2014] © 2014",,"Erlebnis-Box",,,,,
"Stadtbibliothek Chemnitz","""Das gelingt immer!"" - Krimskrams vier Puzzles mit Erfolgsgarantie ; egal, wie die vier Teile zusammengesetzt werden - sie ergeben immer ein Motiv",,,,"[2014]",,"Erlebnis-Box",,,,,
"Stadtbibliothek Chemnitz","Black stories - Christmas Edition",,,"Harder, Corinna","2014",,"Kriminalfälle Black/1",,,,,
"Stadtbibliothek Chemnitz","Guinness World Records das verrückte Rekorde-Quiz",,,"Rejchtman, Grzegorz","2014",,"Games Guinn",,,,,
"Stadtbibliothek Chemnitz","Mit Mist und Tücke",,,"Kuhr, Katrin","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Crazy Circus",,,"Ehrhard, Dominique","2014",,"Rot Spiele Crazy",,,,,
"Stadtbibliothek Chemnitz","Der 7bte Zwerg ein Würfelspiel",,,"Neugebauer, Peter","2014",,"Rot Spiele 7bte",,,,,
"Stadtbibliothek Chemnitz","Guinness World Records Officially Amazing Das verrückte Rekorde-Quiz",,,"Rejchtman, Grzegorz","2014",,"Games Guinn",,,,,
"Stadtbibliothek Chemnitz","Der Grüffelo - Das große Schattenspiel",,,"Basler, Christine","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Hamsterbacke Raffen, was die Backe hält ...",,,"Berardi, Francesco","2014",,"Rot Spiele Hamst",,,,,
"Stadtbibliothek Chemnitz","Honigbienchen",,,"Knizia, Reiner","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Das Warum-Quiz",,,,"2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Barragoon Das fesselnde Strategiespiel",,,"Witter, Robert","2014",,"Games Barra",,,,,
"Stadtbibliothek Chemnitz","Lauf rauf! Raufkommen wäre nicht schwer, wenn da nicht der Berggeist wär!",,,"Koltze, Rüdiger","2014",,"Rot Spiele Lauf",,,,,
"Stadtbibliothek Chemnitz","Koboldbande Die Koboldhatz zum Drachenschatz",,,"Manola, Gina","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Lewis& Clark Die Expedition",,,"Chaboussit, Cédrick","2014",,"Games Lewis",,,,,
"Stadtbibliothek Chemnitz","Qwixx Das Kartenspiel! Klassisch einfach - einfach klasse!",,,"Benndorf, Steffen","2014",,"Rot Spiele Quixx",,,,,
"Stadtbibliothek Chemnitz","Ciub",,,"Lehmann, Tom","2014",,"Games Ciub",,,,,
"Stadtbibliothek Chemnitz","7 Steps Sieben Schritte zum Sieg",,,"Kiesling, Michael","2014",,"Games 7Steps",,,,,
"Stadtbibliothek Chemnitz","Die Akte Whitechapel Ein Deduktions- und Bluffspiel, angesiedelt im London des Jahres 1888",,,"Mari, Gabriele","2014",,"Games White",,,,,
"Stadtbibliothek Chemnitz","Fliegende Zeilen Ein poetisches Spiel um Sinn und Unsinn",,,"Kobbert, Max J.","2014",,"Games Flieg",,,,,
"Stadtbibliothek Chemnitz","Port Royal ein gerissenes Kartenspiel",,,"Pfister, Alexander","2014",,"Games PortRoy",,,,,
"Stadtbibliothek Chemnitz","Pictofun Ein kreatives Assoziationsspiel",,,"Leighton, Robert","2014",,"Games Picto",,,,,
"Stadtbibliothek Chemnitz","Trakkx",,,"Precht, Thade","2014",,"Games Trakkx",,,,,
"Stadtbibliothek Chemnitz","Crowns",,,"Schwer, Benjamin","2014",,"Games Crowns",,,,,
"Stadtbibliothek Chemnitz","Quizduell Das Spiel",,,,"2014",,"Games Quiz",,,,,
"Stadtbibliothek Chemnitz","Black stories - Holiday Edition 50 rabenschwarze Rätsel rund um tödliche Ferien",,,"Berger, Nicola","2014",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Der Natur auf der Spur Kennst du die Tiere und Bäume unserer Wälder?",,,"Kreowski, Klaus","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Abra Palabra (K)ein Wort zu viel",,,"Kreek, Daan","2014",,"Blau Spiele Abra",,,,,
"Stadtbibliothek Chemnitz","Black stories - Best of 1 - 10 die 100 besten rabenschwarzen Rätsel aus black stories 1 - 10",,,"Bösch, Holger","2014",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Black stories - funny death edition 50 rabenschwarze Rätsel rund um die skurrilsten realen Todesfälle",,,"Harder, Corinna","2014",,"Kriminalfälle Black/2",,,,,
"Stadtbibliothek Chemnitz","Black stories - Medizin Edition 50 rabenschwarze Rätsel aus der Welt der Medizin",,,"Berger, Nicola","2014",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Der hungrige Zahlen-Roboter das Zahlenspiel für kleine Rechenkünstler",,,"Haferkamp, Kai","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wenn ich groß bin ...",,,"Hüpper, Christiane","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Un Fin de Semana en Madrid spielend die Stadt entdecken und Spanisch lernen ; ein Sprach- und Reisespiel ; Texte A2 bis B1",,,"Sánchez, María J.","2014",,"350 G 211 Fin",,,,,
"Stadtbibliothek Chemnitz","Castelino",,,"Basler, Christine","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Burgenland Karten raffen, Burgen schaffen! Wer gewinnt den Wettstreit der Baumeister?",,,"Brand, Inka","2014",,"Rot Spiele Burgen",,,,,
"Stadtbibliothek Chemnitz","Komm mit zum Schloss!",,,,"2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Krokolores Happs und weg! ; Ein bissiges Reaktionsspiel",,,"Dreier-Brückner, Anja","2014",,"Sport Spiele Präsenzspiel",,,,,
"Stadtbibliothek Chemnitz","Der kleine Drache Kokosnuss - Ausflug ins Abenteuer Spannendes Würfelspiel",,,"Ludwig, Manfred","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Häuptling Bumm-Ba-Bumm",,,"Dorra, Stefan","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Voll Schaf Auf die Weide, fertig, los!",,,"Rotta, Francesco","2014",,"Rot Spiele Voll",,,,,
"Stadtbibliothek Chemnitz","Sanssouci",,,"Kiesling, Michael","2014",,"Rot Spiele Sanss",,,,,
"Stadtbibliothek Chemnitz","Flizz & Miez das rasante Kinderspiel",,,"Franz, Klemens","2014",,"Rot Spiele Flizz",,,,,
"Stadtbibliothek Chemnitz","Talo ... alle wollen hoch hinaus!",,,"Krüger, Uta","2014",,"Rot Spiele Talo",,,,,
"Stadtbibliothek Chemnitz","Mixola",,,"Griffioen, Sjaak","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Camel up",,,"Bogen, Steffen","c 2014",,"Rot Spiele Camel",,,,,
"Stadtbibliothek Chemnitz","H.P. Lovecraftś Kingsport Festival",,,"Chiarvesio, Andrea","2014",,"Games Kings",,,,,
"Stadtbibliothek Chemnitz","Monopoly Imperium das berühmte Spiel um den großen Deal ; [Big Business mit den Topmarken der Welt!]",,,,"2014",,"Games Monop",,,,,
"Stadtbibliothek Chemnitz","Abluxxen Der pfiffig.bissige Kartenklau!$nAutoren:Wolfgang Kramer u. Michael Kiesling. Ill.: Oliver Freudenreich",,,"Kramer, Wolfgang","2014",,"Blau Spiele Ablux",,,,,
"Stadtbibliothek Chemnitz","Out of Mine! ein temporeiches Legespiel",,,"Nedergaard Andersen, Martin","2014",,"Blau Spiele Out",,,,,
"Stadtbibliothek Chemnitz","Dimension schnell kombinieren und gewinnen",,,"Luchau, Lauge","2014",,"Rot Spiele Dimen",,,,,
"Stadtbibliothek Chemnitz","Heavy Hippos",,,"Ulrich, Richard","2014",,"Sport Spiele Präsenzspiel",,,,,
"Stadtbibliothek Chemnitz","Limes",,,"Stephan, Claus","2014",,"Rot Spiele Limes",,,,,
"Stadtbibliothek Chemnitz","Un@ Fine Settimana a Roma spielend die Stadt entdecken und Italienisch lernen ; ein Sprach- und Reisespiel für 2 - 5 Spieler ; Texte A1 bis B2",,,"Sharp, Inez","2014",,"320 G 211 Un",,,,,
"Stadtbibliothek Chemnitz","Un week-end a Paris spielend die Stadt entdecken und Französisch lernen ; ein Sprach- und Reisespiel ; Texte A2 bis B2",,,"Sharp, Inez","2014",,"310 G 211 Wee",,,,,
"Stadtbibliothek Chemnitz","MaCar",,,"Akelatitis, Gediminas","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Fröschlein aufgepasst! ...die Störche kommen!",,,"Ludwig, Manfred","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Black Fleet",,,"Bleasdale, Sebastian","2014",,"Blau Spiele Black Games Black",,,,,
"Stadtbibliothek Chemnitz","Benjamin Blümchen Schiebe-Memo",,,"Mensen, Reinhard","2014",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Absacker Autor: Leo Colovini &Dario die Toffoli. Grafik: Marek Blaha",,,"Colovini, Leo","2014",,"Rot Spiele Absack",,,,,
"Stadtbibliothek Chemnitz","Black Stories - Mystery Edition 50 rabenschwarze Rätsel",,,"Bösch, Holger","2014",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Black Stories - Mittelalter Edition 50 rabenschwarze Rätsel rund um die finsterste alle Epochen",,,"Harder, Corinna","2014",,"Kriminalfälle Black",,,,,
